Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 9185  Y -26636
X -1309  Y -26567
X 1249  Y -26567
X 11882  Y -24614
X 1249  Y -24613
X -1309  Y -24613
X -6626  Y -24544
X -4182  Y -22739
X -3986  Y -20414
X -8932  Y -8927
X 11600  Y -3800
X -5596  Y 15081
X -11446  Y 17052
X -8540  Y 17054
X -4000  Y 20500
X -2000  Y 20500
X 0  Y 20500
X -10132  Y 21652
X 0  Y 26417
X 7322  Y 26500
X -3868  Y 27172
X -6427  Y 27172
X 6100  Y 29100
X 11623  Y 29321
X 8932  Y 29467
X 3900  Y 29500
X -1100  Y 31900
X -1287  Y 34421
X -3602  Y 37714
X -4838  Y 39622
X 8679  Y 40020
X -6121  Y 41428
X 7535  Y 41872
X -8178  Y 41944
X -8363  Y 44110
X -11755  Y 44973
X 3381  Y 46211
X 9150  Y 47123
X 5289  Y 49061
X -3600  Y 49400
X -1500  Y 50548
X 3410  Y 51398
X -5300  Y 51400
X -8500  Y 51800
X 5666  Y 51802
X -700  Y 52800
X 1700  Y 52900
X 13132  Y 53166
X -6600  Y 53200
X -9989  Y 53409
X 4100  Y 59828
X 11855  Y 61549
X -8988  Y 68014
X -3031  Y 68069
X -11296  Y 68560
X -5987  Y 73900
X 7019  Y 75547
X -3266  Y 77190
X -5889  Y 78525
X -3748  Y 81589
X -6685  Y 82885
X 5588  Y 83277
X 7223  Y 84852
X 10200  Y 85600
X -7027  Y 85815
X -2871  Y 87384
X 10100  Y 88600
X -3745  Y 90408
X -3411  Y 93289
X 6778  Y 96253
X 12280  Y 96266
X -3979  Y 97841
X 7714  Y 101694
X 10088  Y 102065
X -2300  Y 102100
X -11000  Y 104800
X 5166  Y 105889
X 11998  Y 105890
X 483  Y 106053
X -7023  Y 112697
X 22784  Y 132237
X 17065  Y 105890
X 37284  Y 105489
X 31994  Y 104627
X 21036  Y 104089
X 33417  Y 102667
X 19222  Y 102481
X 23194  Y 101929
X 37300  Y 101300
X 16300  Y 100200
X 13600  Y 100100
X 24600  Y 99400
X 26900  Y 99300
X 37920  Y 99019
X 29387  Y 97276
X 31256  Y 88915
X 22510  Y 79955
X 26479  Y 77403
X 29556  Y 74217
X 33248  Y 70674
X 13537  Y 68473
X 18736  Y 60134
X 13281  Y 59902
X 16300  Y 59600
X 21108  Y 58799
X 36500  Y 58500
X 19970  Y 57033
X 17829  Y 53600
X 14800  Y 51400
X 17800  Y 51300
X 20056  Y 45344
X 17756  Y 44867
X 15549  Y 38279
X 22819  Y 38000
X 25590  Y 35745
X 22040  Y 31722
X 24630  Y 31689
X 14340  Y 29717
X 22000  Y 29660
X 24630  Y 29130
X 14340  Y 27158
X 18904  Y 27136
X 34450  Y 26590
X 29760  Y 24640
X 26500  Y 21800
X 24340  Y 21790
